Year,Coal,Petroleum,Gas,Nuclear,Hydroelectric,Biomass,Geothermal,"Solar, All Sectors","Wind, All Sectors",Total - All Sectors,,,
2008,1985801.247,46242.612,894687.475,806208.435,248543.323,55033.612,14839.977,864.315,55363.1,4119387.76,,,
2009,1755904.253,38936.515,931610.788,798854.585,268817.749,54492.734,15008.658,891.179,73886.132,3950330.927,,,
2010,1847290.279,37061.013,999010.021,806968.301,254701.937,56089.367,15219.213,1212.182,94652.246,4125059.9,0.447821444,,
2011,1733430.005,30182.245,1025255.129,790204.367,312934.388,56670.83,15316.068,1817.696,120176.599,4100140.927,,,
2012,1514042.945,23189.542,1237791.76,769331.249,271289.727,57622.166,15562.426,4326.675,140821.703,4047765.26,,,
2013,1581114.716,27164.444,1137688.497,789016.473,263884.35,60858.027,15774.674,9035.62,167839.745,4065964.068,,,
2014,1581710.35,30231.862,1138630.744,797165.982,253193.074,63989.444,15876.941,17691.031,181655.282,4093606.006,,,
2015,1352398.197,28248.749,1346598.808,797177.877,243988.597,63631.878,15917.575,24892.904,190718.548,4077600.939,,,
2016,1239148.654,24204.806,1391114.366,805693.948,261126.026,62760.458,15825.807,36054.121,226992.562,4076674.984,,,
2017,1205835.276,21389.945,1308911.458,804949.635,293838.382,62733.412,15926.774,53286.865,254302.695,4034270.559,,,
2018,1149487.339,25225.618,1482595.431,807084.477,286619.45,61831.924,15967.134,63825.315,272667.454,4178277.344,,,
2019,966148.35,18566.912,1595449.189,809409.262,268446.622,58412.161,16010.586,72234.174,300071.029,4118050.576,0.234613036,,
,,,,,,,,,,,0.213208407,,
,-881141.929,,,,,,,,,,,,
,-0.476991591,,,,,,,,,,,,
